Brand,Age Group,Rank
Mars,18-24,1
Galaxy,18-24,2
Dairy Milk,18-24,3
Snickers,18-24,4
Twix,18-24,5
Wispa,18-24,6
KitKat,18-24,7
Double Decker,18-24,8
Twirl,18-24,9
Crunchie,18-24,10
Boost,18-24,
Bounty,18-24,
Picnic,18-24,
Mars,35-44,1
Galaxy,35-44,2
Snickers,35-44,3
Dairy Milk,35-44,4
Twix,35-44,5
Wispa,35-44,6
Double Decker,35-44,7
Boost,35-44,8
Twirl,35-44,9
KitKat,35-44,10
Bounty,35-44,
Crunchie,35-44,
Picnic,35-44,
Mars,65+,1
Galaxy,65+,2
Snickers,65+,3
Twix,65+,4
KitKat,65+,5
Crunchie,65+,6
Bounty,65+,7
Picnic,65+,8
Twirl,65+,9
Dairy Milk,65+,10
Boost,65+,
Double Decker,65+,
Wispa,65+,
