"YR","RD","Player.Name","TM","OPP","K","M","H","G","B","HO","T","CLG","FF","FA","TOG","Ground","MB","DS","Score","Margin","Total"
"2018","1","Astbury, David","RICH","CARL","9","7","7","0","0","0","2","2","1","1","100","Melbourne Cricket Ground","74","68",121,26,216
"2018","1","Bolton, Shai","RICH","CARL","3","2","3","0","0","1","0","3","0","3","77","Melbourne Cricket Ground","15","13",121,26,216
"2018","1","Butler, Dan","RICH","CARL","10","2","3","3","0","0","7","3","3","1","76","Melbourne Cricket Ground","90","88",121,26,216
"2018","1","Caddy, Josh","RICH","CARL","13","5","6","3","2","0","2","2","5","0","80","Melbourne Cricket Ground","108","99",121,26,216
"2018","1","Castagna, Jason","RICH","CARL","7","4","8","2","1","0","4","0","1","0","76","Melbourne Cricket Ground","85","79",121,26,216
"2018","1","Conca, Reece","RICH","CARL","9","0","7","0","0","0","7","7","0","2","77","Melbourne Cricket Ground","48","63",121,26,216
"2018","1","Cotchin, Trent","RICH","CARL","14","2","10","0","0","0","4","2","2","0","81","Melbourne Cricket Ground","86","86",121,26,216
"2018","1","Edwards, Shane","RICH","CARL","5","3","11","0","0","0","4","1","0","0","75","Melbourne Cricket Ground","62","62",121,26,216
"2018","1","Ellis, Brandon","RICH","CARL","11","3","7","0","1","0","3","5","0","0","79","Melbourne Cricket Ground","57","69",121,26,216
"2018","1","Ellis, Corey","RICH","CARL","6","2","6","0","0","0","4","2","0","0","72","Melbourne Cricket Ground","48","52",121,26,216
"2018","1","Graham, Jack","RICH","CARL","7","0","6","0","1","0","13","0","1","0","69","Melbourne Cricket Ground","89","87",121,26,216
"2018","1","Grigg, Shaun","RICH","CARL","7","4","10","0","1","0","2","4","0","1","83","Melbourne Cricket Ground","54","59",121,26,216
"2018","1","Grimes, Dylan","RICH","CARL","4","1","2","0","0","0","2","1","0","0","84","Melbourne Cricket Ground","25","27",121,26,216
"2018","1","Lambert, Kane","RICH","CARL","7","1","7","0","0","0","2","1","1","0","85","Melbourne Cricket Ground","47","47",121,26,216
"2018","1","Martin, Dustin","RICH","CARL","20","5","12","1","3","0","1","3","1","1","87","Melbourne Cricket Ground","111","110",121,26,216
"2018","1","McIntosh, Kamdyn","RICH","CARL","19","5","0","0","1","0","1","5","0","1","69","Melbourne Cricket Ground","67","74",121,26,216
"2018","1","Nankervis, Toby","RICH","CARL","7","2","7","0","0","33","5","5","2","5","86","Melbourne Cricket Ground","87","81",121,26,216
"2018","1","Rance, Alex","RICH","CARL","9","3","6","0","0","0","1","2","3","0","100","Melbourne Cricket Ground","58","55",121,26,216
"2018","1","Riewoldt, Jack","RICH","CARL","12","7","6","4","2","0","1","2","1","0","96","Melbourne Cricket Ground","103","100",121,26,216
"2018","1","Short, Jayden","RICH","CARL","12","2","4","0","1","0","1","1","0","1","79","Melbourne Cricket Ground","54","52",121,26,216
"2018","1","Townsend, Jacob","RICH","CARL","6","5","3","4","2","0","1","2","0","1","90","Melbourne Cricket Ground","68","66",121,26,216
"2018","1","Vlastuin, Nick","RICH","CARL","10","3","2","0","0","0","3","3","1","3","80","Melbourne Cricket Ground","52","47",121,26,216
"2018","1","Byrne, Ciaran","CARL","RICH","6","4","8","0","0","0","1","2","0","0","85","Melbourne Cricket Ground","48","50",95,-26,216
"2018","1","Casboult, Levi","CARL","RICH","7","4","3","1","0","19","1","2","3","1","91","Melbourne Cricket Ground","75","68",95,-26,216
"2018","1","Cripps, Patrick","CARL","RICH","13","5","23","0","1","0","7","7","4","1","94","Melbourne Cricket Ground","125","130",95,-26,216
"2018","1","Curnow, Charlie","CARL","RICH","14","10","5","5","0","0","2","2","1","2","90","Melbourne Cricket Ground","127","115",95,-26,216
"2018","1","Curnow, Ed","CARL","RICH","15","2","14","0","0","0","4","6","2","3","86","Melbourne Cricket Ground","85","88",95,-26,216
"2018","1","Dow, Paddy","CARL","RICH","5","1","6","0","0","0","5","2","0","1","71","Melbourne Cricket Ground","45","47",95,-26,216
"2018","1","Fisher, Zac","CARL","RICH","13","2","8","1","0","0","1","3","1","0","81","Melbourne Cricket Ground","67","72",95,-26,216
"2018","1","Garlett, Jarrod","CARL","RICH","9","7","8","2","0","0","0","2","1","1","75","Melbourne Cricket Ground","80","74",95,-26,216
"2018","1","Jones, Liam","CARL","RICH","6","2","4","0","0","0","1","1","0","1","97","Melbourne Cricket Ground","35","33",95,-26,216
"2018","1","Kennedy, Matthew","CARL","RICH","2","2","2","0","0","0","0","4","0","3","24","Melbourne Cricket Ground","6","7",95,-26,216
"2018","1","Kreuzer, Matthew","CARL","RICH","7","1","10","0","1","23","1","1","1","0","66","Melbourne Cricket Ground","73","73",95,-26,216
"2018","1","Lamb, Jed","CARL","RICH","10","5","6","0","1","0","0","2","0","0","80","Melbourne Cricket Ground","57","58",95,-26,216
"2018","1","Marchbank, Caleb","CARL","RICH","13","6","6","0","0","0","4","1","1","0","86","Melbourne Cricket Ground","91","86",95,-26,216
"2018","1","Mullett, Aaron","CARL","RICH","10","3","6","0","0","0","1","4","0","2","88","Melbourne Cricket Ground","46","49",95,-26,216
"2018","1","Murphy, Marc","CARL","RICH","10","3","13","0","0","0","1","3","2","1","89","Melbourne Cricket Ground","69","68",95,-26,216
"2018","1","Petrevski-Seton, Sam","CARL","RICH","11","4","5","1","0","0","5","2","1","2","77","Melbourne Cricket Ground","82","76",95,-26,216
"2018","1","Plowman, Lachie","CARL","RICH","7","5","6","0","0","0","3","1","0","0","96","Melbourne Cricket Ground","62","60",95,-26,216
"2018","1","Silvagni, Jack","CARL","RICH","3","3","3","0","0","0","2","2","0","1","84","Melbourne Cricket Ground","29","29",95,-26,216
"2018","1","Simpson, Kade","CARL","RICH","24","6","11","0","0","0","4","3","1","0","91","Melbourne Cricket Ground","128","129",95,-26,216
"2018","1","Thomas, Dale","CARL","RICH","10","5","14","0","0","0","1","3","0","1","83","Melbourne Cricket Ground","73","74",95,-26,216
"2018","1","Weitering, Jacob","CARL","RICH","4","3","5","0","0","0","3","3","1","2","86","Melbourne Cricket Ground","40","38",95,-26,216
"2018","1","Wright, Matthew","CARL","RICH","8","5","3","5","0","0","2","1","1","0","83","Melbourne Cricket Ground","88","84",95,-26,216
"2018","1","Begley, Josh","ESS","ADEL","7","1","4","1","2","0","5","1","0","0","75","Etihad Stadium","58","60",99,12,186
"2018","1","Bellchambers, Tom","ESS","ADEL","5","3","4","1","0","33","1","0","2","0","85","Etihad Stadium","84","77",99,12,186
"2018","1","Brown, Mitch","ESS","ADEL","8","8","5","0","0","0","0","1","1","1","89","Etihad Stadium","66","56",99,12,186
"2018","1","Daniher, Joe","ESS","ADEL","9","7","6","2","1","0","1","4","1","2","100","Etihad Stadium","75","72",99,12,186
"2018","1","Dea, Matt","ESS","ADEL","2","1","9","0","0","0","0","0","0","0","73","Etihad Stadium","28","27",99,12,186
"2018","1","Goddard, Brendon","ESS","ADEL","15","6","14","1","1","0","3","2","0","0","92","Etihad Stadium","110","110",99,12,186
"2018","1","Green, Josh","ESS","ADEL","10","1","1","2","2","0","2","1","2","0","74","Etihad Stadium","61","59",99,12,186
"2018","1","Hartley, Michael","ESS","ADEL","8","5","1","0","0","0","2","1","0","0","91","Etihad Stadium","51","49",99,12,186
"2018","1","Heppell, Dyson","ESS","ADEL","21","13","14","0","0","0","5","6","1","2","88","Etihad Stadium","148","145",99,12,186
